
Parameters:
ALLOW_SOFT_PLACEMENT=True
BATCH_SIZE=64
CHECKPOINT_EVERY=40
DECAY_COEFFICIENT=2.5
DEV_SAMPLE_PERCENTAGE=0.1
DROPOUT_KEEP_PROB=0.5
EMBEDDING_DIM=25
ENABLE_WORD_EMBEDDINGS=True
EVALUATE_EVERY=40
FILTER_SIZES=3,4,5
L2_REG_LAMBDA=0.0
LOG_DEVICE_PLACEMENT=False
NUM_CHECKPOINTS=5
NUM_EPOCHS=80
NUM_FILTERS=128

Loading data...
6954
[[1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]
 ..., 
 [0 0 0 0 1]
 [0 0 0 0 1]
 [0 0 0 0 1]]
Vocabulary Size: 46116
Train/Dev split: 6259/695
Writing to /home/sheep/bigdata/runs/1506709920

Load glove file /home/sheep/bigdata/glove.twitter.27B.25d.txt
glove file has been loaded

2017-09-29T13:32:16.722283: step 1, loss 5.89264, acc 0.171875, learning_rate 0.005
2017-09-29T13:32:38.994276: step 107, loss 0.208665, acc 0.9375, learning_rate 0.00327619
2017-09-29T13:32:39.207066: step 108, loss 0.304773, acc 0.875, learning_rate 0.00326323
2017-09-29T13:32:39.399418: step 109, loss 0.484365, acc 0.890625, learning_rate 0.00325032
2017-09-29T13:32:39.591743: step 110, loss 0.389063, acc 0.875, learning_rate 0.00323746
2017-09-29T13:32:39.781341: step 111, loss 0.424455, acc 0.859375, learning_rate 0.00322465
2017-09-29T13:32:39.965853: step 112, loss 0.383432, acc 0.84375, learning_rate 0.0032119
2017-09-29T13:32:40.166886: step 113, loss 0.39147, acc 0.921875, learning_rate 0.0031992
2017-09-29T13:32:40.372354: step 114, loss 0.233315, acc 0.9375, learning_rate 0.00318655
2017-09-29T13:32:40.567658: step 115, loss 0.346333, acc 0.875, learning_rate 0.00317395
2017-09-29T13:32:40.759488: step 116, loss 0.287173, acc 0.90625, learning_rate 0.0031614
2017-09-29T13:32:40.947875: step 117, loss 0.308716, acc 0.859375, learning_rate 0.0031489
2017-09-29T13:32:41.130123: step 118, loss 0.302954, acc 0.890625, learning_rate 0.00313646
2017-09-29T13:32:41.312998: step 119, loss 0.387361, acc 0.875, learning_rate 0.00312407
2017-09-29T13:32:41.499081: step 120, loss 0.337747, acc 0.859375, learning_rate 0.00311172

Evaluation:
2017-09-29T13:32:42.048158: step 120, loss 0.289522, acc 0.890647

Saved model checkpoint to /home/sheep/bigdata/runs/1506709920/checkpoints/model-120

2017-09-29T13:32:42.765631: step 121, loss 0.451407, acc 0.84375, learning_rate 0.00309943
2017-09-29T13:32:42.946191: step 122, loss 0.236708, acc 0.90625, learning_rate 0.00308719
2017-09-29T13:32:43.135478: step 123, loss 0.317801, acc 0.859375, learning_rate 0.00307499
2017-09-29T13:32:43.319207: step 124, loss 0.334233, acc 0.90625, learning_rate 0.00306285
2017-09-29T13:32:43.501640: step 125, loss 0.314587, acc 0.84375, learning_rate 0.00305076
2017-09-29T13:32:43.694987: step 126, loss 0.385093, acc 0.859375, learning_rate 0.00303871
2017-09-29T13:32:43.887693: step 127, loss 0.360429, acc 0.859375, learning_rate 0.00302672
2017-09-29T13:32:44.070699: step 128, loss 0.332514, acc 0.875, learning_rate 0.00301477
2017-09-29T13:32:44.254527: step 129, loss 0.291211, acc 0.890625, learning_rate 0.00300287
2017-09-29T13:32:44.447702: step 130, loss 0.531132, acc 0.84375, learning_rate 0.00299102
2017-09-29T13:32:44.642196: step 131, loss 0.360502, acc 0.859375, learning_rate 0.00297922
2017-09-29T13:32:44.845919: step 132, loss 0.253196, acc 0.921875, learning_rate 0.00296747
2017-09-29T13:32:45.047993: step 133, loss 0.274059, acc 0.875, learning_rate 0.00295577
2017-09-29T13:32:45.240910: step 134, loss 0.298933, acc 0.890625, learning_rate 0.00294411
2017-09-29T13:32:45.427953: step 135, loss 0.364841, acc 0.859375, learning_rate 0.0029325
2017-09-29T13:32:45.609953: step 136, loss 0.226144, acc 0.90625, learning_rate 0.00292094
2017-09-29T13:32:45.801284: step 137, loss 0.29823, acc 0.90625, learning_rate 0.00290943
2017-09-29T13:32:45.982790: step 138, loss 0.234443, acc 0.9375, learning_rate 0.00289796
2017-09-29T13:32:46.164210: step 139, loss 0.219027, acc 0.875, learning_rate 0.00288654
2017-09-29T13:32:46.344322: step 140, loss 0.567141, acc 0.796875, learning_rate 0.00287516
2017-09-29T13:32:46.542949: step 141, loss 0.313839, acc 0.875, learning_rate 0.00286384
2017-09-29T13:32:46.725449: step 142, loss 0.255142, acc 0.921875, learning_rate 0.00285256
2017-09-29T13:32:46.907344: step 143, loss 0.502135, acc 0.828125, learning_rate 0.00284132
2017-09-29T13:32:47.087591: step 144, loss 0.291487, acc 0.921875, learning_rate 0.00283013
2017-09-29T13:32:47.269100: step 145, loss 0.27235, acc 0.9375, learning_rate 0.00281899
2017-09-29T13:32:47.454573: step 146, loss 0.376378, acc 0.90625, learning_rate 0.00280789
2017-09-29T13:32:47.640946: step 147, loss 0.322067, acc 0.90625, learning_rate 0.00279684
2017-09-29T13:32:47.824297: step 148, loss 0.30783, acc 0.921875, learning_rate 0.00278583
2017-09-29T13:32:48.008002: step 149, loss 0.288049, acc 0.90625, learning_rate 0.00277486
2017-09-29T13:32:48.204070: step 150, loss 0.229621, acc 0.9375, learning_rate 0.00276395
2017-09-29T13:32:48.385817: step 151, loss 0.291378, acc 0.90625, learning_rate 0.00275307
2017-09-29T13:32:48.577200: step 152, loss 0.400688, acc 0.8125, learning_rate 0.00274224
2017-09-29T13:32:48.762155: step 153, loss 0.572425, acc 0.8125, learning_rate 0.00273146
2017-09-29T13:32:48.947911: step 154, loss 0.356818, acc 0.859375, learning_rate 0.00272072
2017-09-29T13:32:49.133074: step 155, loss 0.328314, acc 0.84375, learning_rate 0.00271002
2017-09-29T13:32:49.316642: step 156, loss 0.203811, acc 0.953125, learning_rate 0.00269937
2017-09-29T13:32:49.498289: step 157, loss 0.285681, acc 0.875, learning_rate 0.00268876
2017-09-29T13:32:49.684909: step 158, loss 0.449307, acc 0.84375, learning_rate 0.00267819
2017-09-29T13:32:49.867703: step 159, loss 0.307554, acc 0.890625, learning_rate 0.00266767
2017-09-29T13:32:50.046824: step 160, loss 0.230905, acc 0.921875, learning_rate 0.00265719

Evaluation:
2017-09-29T13:32:50.597257: step 160, loss 0.26984, acc 0.899281

Saved model checkpoint to /home/sheep/bigdata/runs/1506709920/checkpoints/model-160

2017-09-29T13:32:51.309149: step 161, loss 0.168723, acc 0.953125, learning_rate 0.00264675
2017-09-29T13:32:51.504784: step 162, loss 0.244959, acc 0.890625, learning_rate 0.00263635
2017-09-29T13:32:51.688677: step 163, loss 0.241765, acc 0.921875, learning_rate 0.002626
2017-09-29T13:32:51.873943: step 164, loss 0.201163, acc 0.921875, learning_rate 0.00261569
2017-09-29T13:32:52.059289: step 165, loss 0.218669, acc 0.90625, learning_rate 0.00260542
2017-09-29T13:32:52.242888: step 166, loss 0.415619, acc 0.859375, learning_rate 0.0025952
2017-09-29T13:32:52.431351: step 167, loss 0.0916061, acc 0.984375, learning_rate 0.00258501
2017-09-29T13:32:52.611947: step 168, loss 0.301219, acc 0.84375, learning_rate 0.00257487
2017-09-29T13:32:52.794226: step 169, loss 0.165702, acc 0.90625, learning_rate 0.00256477
2017-09-29T13:32:52.974142: step 170, loss 0.177351, acc 0.953125, learning_rate 0.0025547
2017-09-29T13:32:53.155048: step 171, loss 0.224366, acc 0.921875, learning_rate 0.00254469
2017-09-29T13:32:53.338216: step 172, loss 0.266076, acc 0.890625, learning_rate 0.00253471
2017-09-29T13:32:53.525509: step 173, loss 0.220625, acc 0.921875, learning_rate 0.00252477
2017-09-29T13:32:53.711595: step 174, loss 0.249401, acc 0.890625, learning_rate 0.00251487
2017-09-29T13:32:53.892521: step 175, loss 0.245047, acc 0.890625, learning_rate 0.00250501
2017-09-29T13:32:54.074643: step 176, loss 0.153494, acc 0.953125, learning_rate 0.0024952
2017-09-29T13:32:54.259509: step 177, loss 0.362152, acc 0.875, learning_rate 0.00248542
2017-09-29T13:32:54.444089: step 178, loss 0.285263, acc 0.90625, learning_rate 0.00247568
2017-09-29T13:32:54.627082: step 179, loss 0.194663, acc 0.9375, learning_rate 0.00246599
2017-09-29T13:32:54.825170: step 180, loss 0.258058, acc 0.921875, learning_rate 0.00245633
2017-09-29T13:32:55.014052: step 181, loss 0.222124, acc 0.890625, learning_rate 0.00244671
2017-09-29T13:32:55.197225: step 182, loss 0.256636, acc 0.90625, learning_rate 0.00243713
2017-09-29T13:32:55.384366: step 183, loss 0.236142, acc 0.921875, learning_rate 0.00242759
2017-09-29T13:32:55.570462: step 184, loss 0.304203, acc 0.90625, learning_rate 0.00241809
2017-09-29T13:32:55.765302: step 185, loss 0.172224, acc 0.953125, learning_rate 0.00240863
2017-09-29T13:32:55.955124: step 186, loss 0.277663, acc 0.921875, learning_rate 0.00239921
2017-09-29T13:32:56.139441: step 187, loss 0.243232, acc 0.9375, learning_rate 0.00238982
2017-09-29T13:32:56.325235: step 188, loss 0.31427, acc 0.890625, learning_rate 0.00238048
2017-09-29T13:32:56.510044: step 189, loss 0.236204, acc 0.90625, learning_rate 0.00237117
2017-09-29T13:32:56.696407: step 190, loss 0.327619, acc 0.90625, learning_rate 0.0023619
2017-09-29T13:32:56.878868: step 191, loss 0.267838, acc 0.875, learning_rate 0.00235267
2017-09-29T13:32:57.060100: step 192, loss 0.088312, acc 0.96875, learning_rate 0.00234347
2017-09-29T13:32:57.244179: step 193, loss 0.168141, acc 0.890625, learning_rate 0.00233431
2017-09-29T13:32:57.429218: step 194, loss 0.306126, acc 0.890625, learning_rate 0.00232519
2017-09-29T13:32:57.611180: step 195, loss 0.247317, acc 0.90625, learning_rate 0.00231611
2017-09-29T13:32:57.763457: step 196, loss 0.647799, acc 0.803922, learning_rate 0.00230707
2017-09-29T13:32:57.949889: step 197, loss 0.198561, acc 0.921875, learning_rate 0.00229806
2017-09-29T13:32:58.134240: step 198, loss 0.131445, acc 0.9375, learning_rate 0.00228908
2017-09-29T13:32:58.316367: step 199, loss 0.167305, acc 0.9375, learning_rate 0.00228015
2017-09-29T13:32:58.499366: step 200, loss 0.199192, acc 0.921875, learning_rate 0.00227125

Evaluation:
2017-09-29T13:32:59.042870: step 200, loss 0.27452, acc 0.900719

Saved model checkpoint to /home/sheep/bigdata/runs/1506709920/checkpoints/model-200

2017-09-29T13:32:59.782715: step 201, loss 0.127207, acc 0.96875, learning_rate 0.00226239
2017-09-29T13:32:59.965949: step 202, loss 0.103997, acc 0.953125, learning_rate 0.00225356
2017-09-29T13:33:00.156192: step 203, loss 0.212544, acc 0.9375, learning_rate 0.00224477
2017-09-29T13:33:00.336579: step 204, loss 0.245891, acc 0.953125, learning_rate 0.00223602
2017-09-29T13:33:00.530376: step 205, loss 0.172091, acc 0.9375, learning_rate 0.0022273
2017-09-29T13:33:00.716637: step 206, loss 0.298015, acc 0.890625, learning_rate 0.00221862
2017-09-29T13:33:00.910118: step 207, loss 0.242036, acc 0.875, learning_rate 0.00220997
2017-09-29T13:33:01.092216: step 208, loss 0.212254, acc 0.890625, learning_rate 0.00220136
2017-09-29T13:33:01.287625: step 209, loss 0.120826, acc 0.984375, learning_rate 0.00219278
2017-09-29T13:33:01.474794: step 210, loss 0.0925329, acc 0.96875, learning_rate 0.00218424
2017-09-29T13:33:01.661987: step 211, loss 0.0695481, acc 0.96875, learning_rate 0.00217573
2017-09-29T13:33:01.851551: step 212, loss 0.152619, acc 0.9375, learning_rate 0.00216726
2017-09-29T13:33:02.042982: step 213, loss 0.242864, acc 0.921875, learning_rate 0.00215882
2017-09-29T13:33:02.235670: step 214, loss 0.104702, acc 0.984375, learning_rate 0.00215041
2017-09-29T13:33:02.424959: step 215, loss 0.215492, acc 0.921875, learning_rate 0.00214204
2017-09-29T13:33:02.609553: step 216, loss 0.244909, acc 0.953125, learning_rate 0.00213371
2017-09-29T13:33:02.804573: step 217, loss 0.211764, acc 0.9375, learning_rate 0.00212541
2017-09-29T13:33:03.013177: step 218, loss 0.189952, acc 0.9375, learning_rate 0.00211714
2017-09-29T13:33:03.201189: step 219, loss 0.225057, acc 0.9375, learning_rate 0.00210891
2017-09-29T13:33:03.392397: step 220, loss 0.27562, acc 0.90625, learning_rate 0.00210071
2017-09-29T13:33:03.588651: step 221, loss 0.153717, acc 0.953125, learning_rate 0.00209254
2017-09-29T13:33:03.780975: step 222, loss 0.273777, acc 0.890625, learning_rate 0.00208441
2017-09-29T13:33:03.971533: step 223, loss 0.0641978, acc 0.984375, learning_rate 0.00207631
2017-09-29T13:33:04.163150: step 224, loss 0.16268, acc 0.96875, learning_rate 0.00206824
2017-09-29T13:33:04.344997: step 225, loss 0.25776, acc 0.921875, learning_rate 0.00206021
2017-09-29T13:33:04.532609: step 226, loss 0.246433, acc 0.90625, learning_rate 0.00205221
2017-09-29T13:33:04.720189: step 227, loss 0.16097, acc 0.9375, learning_rate 0.00204424
2017-09-29T13:33:04.915297: step 228, loss 0.21129, acc 0.9375, learning_rate 0.0020363
2017-09-29T13:33:05.112637: step 229, loss 0.232037, acc 0.90625, learning_rate 0.0020284
2017-09-29T13:33:05.295074: step 230, loss 0.191721, acc 0.9375, learning_rate 0.00202053
2017-09-29T13:33:05.479426: step 231, loss 0.409175, acc 0.859375, learning_rate 0.00201269
2017-09-29T13:33:05.661365: step 232, loss 0.178133, acc 0.9375, learning_rate 0.00200488
2017-09-29T13:33:05.853671: step 233, loss 0.174486, acc 0.90625, learning_rate 0.00199711
2017-09-29T13:33:06.050312: step 234, loss 0.208603, acc 0.953125, learning_rate 0.00198936
2017-09-29T13:33:06.234666: step 235, loss 0.231822, acc 0.875, learning_rate 0.00198165
2017-09-29T13:33:06.419168: step 236, loss 0.241955, acc 0.90625, learning_rate 0.00197397
2017-09-29T13:33:06.604307: step 237, loss 0.29408, acc 0.875, learning_rate 0.00196632
2017-09-29T13:33:06.790524: step 238, loss 0.331168, acc 0.875, learning_rate 0.0019587
2017-09-29T13:33:06.977602: step 239, loss 0.100637, acc 0.984375, learning_rate 0.00195112
2017-09-29T13:33:07.158992: step 240, loss 0.13624, acc 0.9375, learning_rate 0.00194356

Evaluation:
2017-09-29T13:33:07.702789: step 240, loss 0.253066, acc 0.906475

Saved model checkpoint to /home/sheep/bigdata/runs/1506709920/checkpoints/model-240

2017-09-29T13:33:08.453467: step 241, loss 0.153068, acc 0.96875, learning_rate 0.00193604
2017-09-29T13:33:08.642925: step 242, loss 0.230242, acc 0.890625, learning_rate 0.00192854
2017-09-29T13:33:08.830879: step 243, loss 0.18874, acc 0.921875, learning_rate 0.00192108
2017-09-29T13:33:09.013780: step 244, loss 0.118713, acc 0.953125, learning_rate 0.00191364
2017-09-29T13:33:09.197938: step 245, loss 0.130152, acc 0.9375, learning_rate 0.00190624
2017-09-29T13:33:09.380925: step 246, loss 0.154101, acc 0.921875, learning_rate 0.00189887
2017-09-29T13:33:09.574797: step 247, loss 0.267092, acc 0.921875, learning_rate 0.00189153
2017-09-29T13:33:09.763779: step 248, loss 0.193686, acc 0.90625, learning_rate 0.00188421
2017-09-29T13:33:09.944939: step 249, loss 0.285036, acc 0.875, learning_rate 0.00187693
2017-09-29T13:33:10.124975: step 250, loss 0.262709, acc 0.921875, learning_rate 0.00186968
2017-09-29T13:33:10.306552: step 251, loss 0.253892, acc 0.890625, learning_rate 0.00186245
2017-09-29T13:33:10.490724: step 252, loss 0.184839, acc 0.921875, learning_rate 0.00185526
2017-09-29T13:33:10.676219: step 253, loss 0.202841, acc 0.9375, learning_rate 0.0018481
2017-09-29T13:33:10.862423: step 254, loss 0.230313, acc 0.9375, learning_rate 0.00184096
2017-09-29T13:33:11.052799: step 255, loss 0.243594, acc 0.921875, learning_rate 0.00183385
2017-09-29T13:33:11.237436: step 256, loss 0.0985205, acc 0.953125, learning_rate 0.00182678
2017-09-29T13:33:11.420905: step 257, loss 0.223743, acc 0.921875, learning_rate 0.00181973
2017-09-29T13:33:11.603746: step 258, loss 0.130646, acc 0.953125, learning_rate 0.00181271
2017-09-29T13:33:11.804862: step 259, loss 0.215149, acc 0.921875, learning_rate 0.00180572
2017-09-29T13:33:11.991773: step 260, loss 0.170822, acc 0.921875, learning_rate 0.00179876
2017-09-29T13:33:12.173839: step 261, loss 0.216331, acc 0.890625, learning_rate 0.00179182
